,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,genres1
8248,tt0497323,movie,Anamorph,Anamorph,0,2007,107,"Crime,Horror,Thriller",5.5,8965,Crime
8251,tt0051462,movie,Cavalcade,Cavalcade,0,1959,87,Adventure,6.0,5,Adventure
8255,tt3155618,movie,O Brasil Deu Certo. E Agora?,O Brasil Deu Certo. E Agora?,0,2013,71,"Documentary,History,News",6.0,42,Documentary
8260,tt1842520,movie,They're Out of the Business,They're Out of the Business,0,2011,89,Comedy,5.7,86,Comedy
8262,tt0057565,movie,High and Low,Tengoku to jigoku,0,1963,143,"Crime,Drama,Mystery",8.4,33046,Crime
8263,tt0109489,movie,Costa Brava,Costa Brava,0,1995,90,"Comedy,Romance",6.2,70,Comedy
8267,tt0322902,movie,Kadalikka Neramillai,Kadalikka Neramillai,0,1964,159,"Comedy,Romance",8.1,359,Comedy
8269,tt0109031,movie,Aazmayish,Aazmayish,0,1995,147,"Action,Drama,Romance",5.3,31,Action
8271,tt6824050,movie,Rudy Ruettiger: The Walk On,Rudy Ruettiger: The Walk On,0,2017,78,"Documentary,Sport",7.9,29,Documentary
8273,tt0138328,movie,"Blázni, vodníci a podvodníci","Blázni, vodníci a podvodníci",0,1981,79,Comedy,4.0,30,Comedy
8274,tt7644268,movie,Sheryl Crow Live at the Capitol Theatre,Sheryl Crow Live at the Capitol Theatre,0,2018,121,Music,6.1,8,Music
8276,tt3120960,movie,Skin Traffik,Skin Traffik,0,2015,97,Action,4.3,1357,Action
8280,tt4792648,movie,Lace Crater,Lace Crater,0,2015,83,"Comedy,Drama,Fantasy",5.3,347,Comedy
8284,tt0183696,movie,Real Bullets,Real Bullets,0,1988,86,"Action,Crime,Drama",3.2,49,Action
8286,tt1537891,movie,Rina,Rina,0,2010,105,"Comedy,Drama,Romance",5.8,584,Comedy
8291,tt2197799,movie,A Arca do Éden,A Arca do Éden,0,2011,80,"Documentary,Drama",7.0,8,Documentary
8313,tt0287667,movie,Scanty-Panty Doll: Pungent Aroma,Scanty doll: nugitate no kaori,0,1984,55,Comedy,6.3,6,Comedy
8316,tt1182921,movie,Ninja,Ninja,0,2009,86,"Action,Thriller",5.5,12225,Action
8325,tt0033631,movie,Fransson den förskräcklige,Fransson den förskräcklige,0,1941,81,Comedy,3.9,12,Comedy
8326,tt0101809,movie,Eminent Domain,Eminent Domain,0,1990,106,Drama,5.8,352,Drama
8327,tt0077321,movie,The Cheap Detective,The Cheap Detective,0,1978,92,"Comedy,Crime,Mystery",6.5,4040,Comedy
8336,tt2034782,movie,Spisok korabley,Spisok korabley,0,2008,70,Documentary,5.3,10,Documentary
8337,tt2964374,movie,Lovehate,Amoreodio,0,2013,100,"Crime,Drama",5.3,39,Crime
8350,tt1825022,movie,Helpless Stones,Koroishi,0,2010,61,Fantasy,5.5,6,Fantasy
8356,tt1042891,movie,I Am Nipponjin,I Am Nipponjin,0,2006,111,"Comedy,Drama,Family",5.7,6,Comedy
8360,tt2538130,movie,Return to Zero,Return to Zero,0,2014,104,Drama,6.4,904,Drama
8363,tt0230512,movie,Mayor of the Sunset Strip,Mayor of the Sunset Strip,0,2003,94,"Biography,Documentary,Music",7.0,1473,Biography
8364,tt0090006,movie,Shaker Run,Shaker Run,0,1985,91,"Action,Drama",5.6,229,Action
